IP,Country,City,Region,ZIP,Timezone,ISP,Org,ASN,Lat,Long
89.73.189.96,Poland,Chorzów,Silesia,41-500,Europe/Warsaw,UPC.pl,"UPC Polska Sp. z o.o.","AS6830 Liberty Global B.V.",50.2989,18.9449
8f3c:9e11:63b4:73bb:20d1:86c7:ab70:2e04,Switzerland,Morat,Fribourg,3280,Europe/Zurich,"Internet Assigned Numbers Authority","Internet Assigned Numbers Authority",Unknown,46.9219,7.16595
d89c:db0:5ff9:a150:9e6c:482d:c900:fb33,Switzerland,Morat,Fribourg,3280,Europe/Zurich,"Internet Assigned Numbers Authority","Internet Assigned Numbers Authority",Unknown,46.9219,7.16595
2be:a4d5:eb39:fa22:2650:83d5:917f:5f23,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0
181.90.104.120,Argentina,Salta,Salta,4400,America/Argentina/Salta,"Telecom Argentina S.A.","Apolo -Gold-Telecom-Per","AS7303 Telecom Argentina S.A.",-24.7792,-65.422
16.166.2.0,"United States","Palo Alto",California,94304,America/Los_Angeles,"Hewlett Packard Enterprise Company","Hewlett Packard Enterprise Company",Unknown,37.4146,-122.146
f82c:811f:8a02:e2d6:79b:fcaa:42de:570b,Switzerland,Morat,Fribourg,3280,Europe/Zurich,"Internet Assigned Numbers Authority","Internet Assigned Numbers Authority",Unknown,46.9219,7.16595
203.246.172.244,"South Korea",Naju-si,Jeollanam-do,Unknown,Asia/Seoul,"Kakao Corp",Kinxinc,"AS45991 Kakao Corp",35.0161,126.711
132.132.95.33,"United States","Sierra Vista",Arizona,85613,America/Phoenix,"DoD Network Information Center",USAISC,"AS306 DoD Network Information Center",31.5552,-110.35

